Occurrence Number,Date,Registration,Classification,Type,Location,State,Aerodrome,Operation,Status,Link,History
85745,2024-10-26,PSLPD,INCIDENTE GRAVE,FALHA OU MAU FUNCIONAMENTO DO MOTOR,BOA VISTA,RR,SD6X,PRIVADA,ATIVA,https://dedalo.sti.fab.mil.br/ocorrencia/85745,"A aeronave decolou do aeródromo Malboro (SD6X), Boa Vista, RR, com destino ao aeródromo Surucucu (SWUQ), Alto Alegre, RR, a fim de realizar transporte de carga, com dois tripulantes a bordo. Durante a decolagem, houve perda de potência, com aviso de baixa pressão de combustível. Após a execução dos procedimentos previstos, foi efetuado pouso em uma área não preparada, próximo ao aeródromo."
85744,2024-10-23,PTGSO,ACIDENTE,VOO CONTROLADO CONTRA O TERRENO,ROSÁRIO DO SUL,RS,FAER,AGRÍCOLA,ATIVA,https://dedalo.sti.fab.mil.br/ocorrencia/85744,"A aeronave decolou do aeródromo Dário Brasil Capoano De Oliveira (SSRZ), Rosário do Sul, RS, às 21h05min (UTC), a fim de realizar voo local de aplicação de defensivos agrícolas, com um tripulante a bordo. Durante o voo de retorno, a aeronave chocou-se contra o solo."
85743,2024-10-23,PTMBU,ACIDENTE,INDETERMINADO,PARAIBUNA,SP,FAER,PRIVADA,ATIVA,https://dedalo.sti.fab.mil.br/ocorrencia/85743,"A aeronave decolou do aeródromo Hercílio Luz (SBFL), Florianópolis, SC, com destino ao aeródromo da Pampulha - Carlos Drummond de Andrade (SBBH), Belo Horizonte, MG, a fim de realizar voo de translado com dois tripulantes e três passageiros a bordo. Durante a fase de cruzeiro, ocorreu a perda de contato radar do APP-SP com a aeronave, que veio a ser encontrada em uma área de plantação de eucaliptos próxima ao município de Paraibuna, SP."
85739,2024-10-23,****,INCIDENTE,COLISÃO NO SOLO,TERESINA,PI,SBTE,***,FINALIZADA,https://dedalo.sti.fab.mil.br/ocorrencia/85739,"A aeronave de matrícula PR-YSG tinha previsão de decolar do Aeroporto Senador Petronio Portela (SBTE), Teresina, PI, com destino ao Aeroporto de Viracopos (SBKP), Campinas, SP, a fim de realizar transporte aéreo público regular. Durante a fase de táxi, a aeronave de matrícula PR-YSG colidiu a ponta da asa com o estabilizador horizontal da aeronave de matrícula PR-XMC que estava estacionada em local previsto, com os motores desligados."
85742,2024-10-18,PTOCH,INCIDENTE GRAVE,"FALHA OU MAU FUNCIONAMENTO DO MOTOR, OUTROS",JATAÍ,GO,SWJW,PRIVADA,FINALIZADA,https://dedalo.sti.fab.mil.br/ocorrencia/85742,"A aeronave decolou do aeródromo de Jataí (SWJW), Jataí, GO, a fim de realizar voo local de verificação após manutenção, com um tripulante a bordo. Durante o voo, houve queda da pressão do óleo do motor. O piloto retornou com a aeronave para o aeródromo de origem. Quando próximo ao aeródromo, ocorreu a perda de potência do motor e foi efetuado pouso de segurança em uma área de pouso para uso aeroagrícola."
85738,2024-10-16,****,INCIDENTE,OUTROS,RIO DE JANEIRO,RJ,FAER,TÁXI AÉREO,FINALIZADA,https://dedalo.sti.fab.mil.br/ocorrencia/85738,"A aeronave decolou da Unidade Marítima West Saturn (9PWS), Bacia de Santos, RJ, com destino ao Aeroporto de Jacarepaguá - Roberto Marinho (SBJR), Rio de Janeiro, RJ, por volta das 11h15min (UTC), a fim de efetuar transporte de pessoal, com dois pilotos e dezessete passageiros a bordo. Durante o voo, ocorreu vibração anormal na aeronave. O pouso foi efetuado sem intercorrências."
85737,2024-10-14,****,INCIDENTE,FALHA OU MAU FUNCIONAMENTO DO MOTOR,BRASÍLIA,DF,SBBR,***,FINALIZADA,https://dedalo.sti.fab.mil.br/ocorrencia/85737,"A aeronave decolou do Aeroporto Presidente Juscelino Kubitschek (SBBR), Brasília, DF, com destino ao Aeroporto Eduardo Gomes (SBEG), Manaus, AM, a fim de realizar transporte aéreo público regular. Durante a fase de decolagem, a aeronave apresentou indicação de temperatura elevada no motor de número #2. A tripulação realizou os procedimentos previstos e após o pouso, a aeronave foi entregue à equipe de manutenção. Não houve mais intercorrências."
85741,2024-10-13,PRMIR,INCIDENTE GRAVE,PERDA DE CONTROLE EM VOO,QUERÊNCIA,MT,NCAD,PRIVADA,FINALIZADA,https://dedalo.sti.fab.mil.br/ocorrencia/85741,"A aeronave decolou do aeródromo Fazenda Tamakavi (SJ68), Alto Boa Vista, MT, com destino ao aeródromo Primavera (SDLN), Querência, MT, a fim de realizar  transporte aéreo, com 01 (um) tripulante e 03 (três) passageiros a bordo. Durante o sobrevoo na cidade de Querência, MT, antes do pouso destinado ao aeródromo Primavera (SDLN), houve uma perda do controle direcional do helicóptero. Foi realizado pouso em um terreno baldio na cidade."
85719,2024-10-13,****,INCIDENTE,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,SÃO PAULO,SP,SBSP,REGULAR,FINALIZADA,https://dedalo.sti.fab.mil.br/ocorrencia/85719,"A aeronave tinha previsão de decolar do Aeroporto de Congonhas - Deputado Freitas Nobre (SBSP), São Paulo, SP, com destino ao Aeroporto Leite Lopes (SBRP), São Paulo, SP, a fim de realizar transporte aéreo público regular. Durante a fase de táxi, ocorreu um mau funcionamento do sistema de comandos de voo. Após a execução dos procedimentos previstos, o voo regressou para o local de estacionamento. Não houve mais intercorrências."
85734,2024-10-12,PRSDC,ACIDENTE,FALHA OU MAU FUNCIONAMENTO DO MOTOR,PARANAGUÁ,PR,SSPG,***,ATIVA,https://dedalo.sti.fab.mil.br/ocorrencia/85734,"A aeronave decolou do aeródromo Santos Dumont (SSPG), Paranaguá, PR, aproximadamente às 17h30min (UTC), a fim de realizar voo local de lançamento de paraquedistas, com um tripulante e quatro paraquedistas a bordo. Durante o voo, ocorreu o mau funcionamento do motor e foi realizado um pouso de emergência em uma área de mangue."
